FINAL SUMMARY: PS / GS / GS+GM / GM

 Method NCrosses TotalObjective MeanObjective TopObjective MeanProgenyMean MeanProgenySD MeanDamPhenotype MeanSirePhenotype MeanDamGeneticValue MeanSireGeneticValue
     PS      100       1328.325      13.28325     16.14967        13.09862      1.846313         52.97259          52.59898            14.82339             18.82070
     GS      100       1323.867      13.23867     15.93772        13.05445      1.842172         52.98744          52.68356            15.00009             19.18926
  GS+GM      100       1464.129      14.64129     16.69123        14.45710      1.841869         53.01860          59.51217            15.00009             19.18926
     GM      100       1558.183      15.58183     17.74285        15.40105      1.807776         50.78346          56.04877            13.36822             15.82421


ALL PS PAIRS

    Dam   Sire ObjectiveValue ProgenyMean ProgenySD InbreedingPenalty DamGeneticValue SireGeneticValue DamPhenotype SirePhenotype Method
    Dam   Sire ObjectiveValue ProgenyMean ProgenySD InbreedingPenalty DamGeneticValue SireGeneticValue DamPhenotype SirePhenotype Method
 ID0131 ID0271       15.93772    15.74965  1.880687                 0        15.82060         19.69068     51.41692      54.34961     GS
 ID0244 ID0441       15.88192    15.70777  1.741530                 0        18.95528         20.57302     61.05407      47.35459     GS
 ID0217 ID0441       15.48070    15.28775  1.929564                 0        19.52245         20.57302     49.68531      47.35459     GS
 ID0146 ID0315       15.44881    15.26327  1.855428                 0        13.08924         18.19615     61.19613      46.79878     GS
 ID0059 ID0441       15.43443    15.24647  1.879573                 0        20.54108         20.57302     52.48581      47.35459     GS
 ID0223 ID0271       15.15717    14.97388  1.832892                 0        15.81102         19.69068     56.24820      54.34961     GS
 ID0034 ID0277       14.97882    14.80068  1.781362                 0        17.17558         20.10865     56.76940      51.79240     GS
 ID0144 ID0277       14.69617    14.51127  1.848932                 0        16.30936         20.10865     53.67297      51.79240     GS
 ID0192 ID0418       14.67875    14.49279  1.859604                 0        14.90959         19.36283     56.13164      56.60350     GS
 ID0241 ID0473       14.66045    14.47753  1.829222                 0        14.33264         19.26019     49.78719      51.53803     GS
 ID0088 ID0315       14.65162    14.46535  1.862712                 0        13.28270         18.19615     63.54399      46.79878     GS
 ID0109 ID0441       14.62870    14.44561  1.830833                 0        19.43456         20.57302     58.01364      47.35459     GS
 ID0046 ID0271       14.53215    14.34850  1.836516                 0        16.09631         19.69068     56.32537      54.34961     GS
 ID0150 ID0450       14.52884    14.34226  1.865780                 0        15.51646         19.48796     58.30818      53.18300     GS
 ID0182 ID0369       14.47773    14.29846  1.792652                 0        14.25729         18.97247     49.87873      54.93286     GS
 ID0227 ID0441       14.47306    14.28761  1.854493                 0        17.95882         20.57302     50.43059      47.35459     GS
 ID0128 ID0277       14.47289    14.28847  1.844152                 0        16.82795         20.10865     53.65794      51.79240     GS
 ID0078 ID0369       14.46579    14.28389  1.818991                 0        14.10621         18.97247     54.46205      54.93286     GS
 ID0151 ID0418       14.30027    14.11726  1.830026                 0        14.85004         19.36283     47.95734      56.60350     GS
 ID0250 ID0369       14.24203    14.06247  1.795621                 0        13.84690         18.97247     58.48603      54.93286     GS
 ID0213 ID0450       14.16373    13.97855  1.851799                 0        15.50406         19.48796     54.88773      53.18300     GS
